CountryRegionCode,CurrencyCode,ModifiedDate
AE,AED,17:21.5
AR,ARS,17:21.5
AT,ATS,17:21.5
AT,EUR,00:00.0
AU,AUD,17:21.5
BB,BBD,17:21.5
BD,BDT,17:21.5
BE,BEF,17:21.5
BE,EUR,00:00.0
BG,BGN,17:21.5
BH,BHD,17:21.5
BN,BND,17:21.5
BO,BOB,17:21.5
BR,BRL,17:21.5
BS,BSD,17:21.5
BT,BTN,17:21.5
CA,CAD,17:21.5
CH,CHF,17:21.5
CL,CLP,17:21.5
CN,CNY,17:21.5
CO,COP,17:21.5
CR,CRC,17:21.5
CY,CYP,17:21.5
CZ,CZK,17:21.5
DE,DEM,17:21.5
DE,EUR,17:21.5
DK,DKK,17:21.5
DO,DOP,17:21.5
DZ,DZD,17:21.5
EC,USD,17:21.5
EE,EEK,17:21.5
EG,EGP,17:21.5
ES,ESP,17:21.5
ES,EUR,00:00.0
FI,EUR,00:00.0
FI,FIM,17:21.5
FJ,FJD,17:21.5
FR,EUR,17:21.5
FR,FRF,17:21.5
GB,GBP,17:21.5
GH,GHC,17:21.5
GR,EUR,00:00.0
GR,GRD,17:21.5
GT,GTQ,17:21.5
HK,HKD,17:21.5
HR,HRK,17:21.5
HU,HUF,17:21.5
ID,IDR,17:21.5
IE,EUR,00:00.0
IE,IEP,17:21.5
IL,ILS,17:21.5
IN,INR,17:21.5
IS,ISK,17:21.5
IT,EUR,00:00.0
IT,ITL,17:21.5
JM,JMD,17:21.5
JO,JOD,17:21.5
JP,JPY,17:21.5
KE,KES,17:21.5
KR,KRW,17:21.5
KW,KWD,17:21.5
LB,LBP,17:21.5
LK,LKR,17:21.5
LT,LTL,17:21.5
LU,EUR,00:00.0
LV,LVL,17:21.5
MA,MAD,17:21.5
MT,MTL,17:21.5
MU,MUR,17:21.5
MV,MVR,17:21.5
MX,MXN,17:21.5
MY,MYR,17:21.5
NA,NAD,17:21.5
NG,NGN,17:21.5
NL,EUR,00:00.0
NL,NLG,17:21.5
NO,NOK,17:21.5
NP,NPR,17:21.5
NZ,NZD,17:21.5
OM,OMR,17:21.5
PA,PAB,17:21.5
PE,PEN,17:21.5
PH,PHP,17:21.5
PK,PKR,17:21.5
PL,PLN,17:21.5
PL,PLZ,17:21.5
PT,EUR,00:00.0
PT,PTE,17:21.5
PY,PYG,17:21.5
RO,ROL,17:21.5
RU,RUB,17:21.5
RU,RUR,17:21.5
SA,SAR,17:21.5
SE,SEK,17:21.5
SG,SGD,17:21.5
SI,SIT,17:21.5
SK,SKK,17:21.5
SV,SVC,17:21.5
TH,THB,17:21.5
TN,TND,17:21.5
TR,TRL,17:21.5
TT,TTD,17:21.5
TW,TWD,17:21.5
US,USD,17:21.5
UY,UYU,17:21.5
VE,VEB,17:21.5
VN,VND,17:21.5
ZA,ZAR,17:21.5
ZW,ZWD,17:21.5
