BusinessEntityID,CreditCardID,ModifiedDate
293,17038,00:00.0
295,15369,00:00.0
297,8010,00:00.0
299,5316,00:00.0
301,6653,00:00.0
303,9010,00:00.0
305,8937,00:00.0
307,16124,00:00.0
309,9478,00:00.0
311,17600,00:00.0
313,1970,00:00.0
315,8274,00:00.0
317,13045,00:00.0
319,13601,00:00.0
323,5958,00:00.0
325,10709,00:00.0
327,126,00:00.0
329,6626,00:00.0
331,14963,00:00.0
333,18100,00:00.0
335,12823,00:00.0
337,11434,00:00.0
339,13160,00:00.0
341,3787,00:00.0
343,8979,00:00.0
345,14729,00:00.0
347,6264,00:00.0
349,2273,00:00.0
351,18154,00:00.0
353,18257,00:00.0
355,14184,00:00.0
357,11472,00:00.0
359,10785,00:00.0
361,4215,00:00.0
363,2396,00:00.0
365,4983,00:00.0
367,1660,00:00.0
369,17861,00:00.0
371,15321,00:00.0
373,3756,00:00.0
375,14486,00:00.0
377,16441,00:00.0
379,10338,00:00.0
381,4173,00:00.0
383,18570,00:00.0
385,9102,00:00.0
387,626,00:00.0
389,5409,00:00.0
391,2337,00:00.0
393,5262,00:00.0
397,6272,00:00.0
405,11945,00:00.0
407,14938,00:00.0
409,6306,00:00.0
411,181,00:00.0
413,17315,00:00.0
417,13667,00:00.0
419,12491,00:00.0
421,18295,00:00.0
427,12189,00:00.0
429,16173,00:00.0
431,10057,00:00.0
435,10187,00:00.0
437,5528,00:00.0
439,7083,00:00.0
441,12492,00:00.0
443,7657,00:00.0
445,1977,00:00.0
449,9647,00:00.0
451,1684,00:00.0
453,1163,00:00.0
455,11087,00:00.0
463,3513,00:00.0
465,11282,00:00.0
471,14489,00:00.0
473,9772,00:00.0
475,7777,00:00.0
477,7293,00:00.0
479,14814,00:00.0
481,10832,00:00.0
483,4322,00:00.0
487,18017,00:00.0
489,7527,00:00.0
491,9458,00:00.0
493,13917,00:00.0
495,242,00:00.0
497,14363,00:00.0
501,17699,00:00.0
503,8394,00:00.0
505,3490,00:00.0
507,12316,00:00.0
509,6442,00:00.0
511,319,00:00.0
513,6920,00:00.0
515,12857,00:00.0
517,15232,00:00.0
519,4524,00:00.0
521,1359,00:00.0
523,4789,00:00.0
525,1803,00:00.0
527,972,00:00.0
531,16467,00:00.0
533,1906,00:00.0
535,15842,00:00.0
537,17164,00:00.0
539,1308,00:00.0
541,3392,00:00.0
543,17368,00:00.0
545,8522,00:00.0
547,6340,00:00.0
549,16065,00:00.0
551,19204,00:00.0
553,15195,00:00.0
555,15487,00:00.0
557,4052,00:00.0
559,2741,00:00.0
561,3318,00:00.0
563,11110,00:00.0
565,17281,00:00.0
567,18868,00:00.0
569,16021,00:00.0
573,14612,00:00.0
577,4727,00:00.0
579,15924,00:00.0
581,17540,00:00.0
583,3235,00:00.0
585,5758,00:00.0
587,13536,00:00.0
589,18717,00:00.0
591,1566,00:00.0
595,12715,00:00.0
597,17277,00:00.0
599,10270,00:00.0
601,17923,00:00.0
603,553,00:00.0
607,5577,00:00.0
609,5514,00:00.0
611,7829,00:00.0
613,17308,00:00.0
615,204,00:00.0
617,2602,00:00.0
619,6863,00:00.0
621,15954,00:00.0
623,10502,00:00.0
625,11580,00:00.0
627,5589,00:00.0
629,3764,00:00.0
631,13278,00:00.0
633,13923,00:00.0
635,2847,00:00.0
637,2270,00:00.0
639,2604,00:00.0
641,5164,00:00.0
643,18460,00:00.0
647,4357,00:00.0
649,5751,00:00.0
651,4830,00:00.0
653,7600,00:00.0
655,16192,00:00.0
657,6468,00:00.0
659,9961,00:00.0
661,13054,00:00.0
663,17774,00:00.0
665,16805,00:00.0
667,778,00:00.0
669,14842,00:00.0
671,19154,00:00.0
675,230,00:00.0
681,12529,00:00.0
683,14497,00:00.0
685,14064,00:00.0
687,8342,00:00.0
689,15364,00:00.0
691,1912,00:00.0
693,17935,00:00.0
695,18328,00:00.0
697,5301,00:00.0
699,10526,00:00.0
701,15282,00:00.0
703,7167,00:00.0
705,11274,00:00.0
707,7832,00:00.0
709,14371,00:00.0
713,16871,00:00.0
715,12135,00:00.0
717,16939,00:00.0
719,18908,00:00.0
721,5618,00:00.0
723,18407,00:00.0
725,17073,00:00.0
727,18323,00:00.0
729,14261,00:00.0
731,12554,00:00.0
733,15829,00:00.0
735,1039,00:00.0
737,18049,00:00.0
739,17658,00:00.0
741,18502,00:00.0
743,10336,00:00.0
745,3827,00:00.0
751,17669,00:00.0
753,7092,00:00.0
757,10553,00:00.0
759,11781,00:00.0
761,3070,00:00.0
763,7392,00:00.0
765,15443,00:00.0
767,923,00:00.0
769,11046,00:00.0
771,4931,00:00.0
773,5824,00:00.0
775,11080,00:00.0
777,11201,00:00.0
779,11745,00:00.0
781,10064,00:00.0
783,9628,00:00.0
785,17544,00:00.0
787,18496,00:00.0
789,15090,00:00.0
791,17902,00:00.0
793,6452,00:00.0
795,14546,00:00.0
797,7597,00:00.0
799,3047,00:00.0
801,10783,00:00.0
803,12214,00:00.0
805,17062,00:00.0
807,18231,00:00.0
809,11622,00:00.0
811,6065,00:00.0
813,18875,00:00.0
815,13468,00:00.0
817,15882,00:00.0
819,12399,00:00.0
821,16523,00:00.0
823,16023,00:00.0
825,19078,00:00.0
827,12698,00:00.0
829,15616,00:00.0
831,6126,00:00.0
833,12648,00:00.0
835,5346,00:00.0
837,12015,00:00.0
839,9043,00:00.0
841,8015,00:00.0
843,6235,00:00.0
845,161,00:00.0
847,6940,00:00.0
849,7604,00:00.0
851,1346,00:00.0
853,8213,00:00.0
855,11874,00:00.0
857,19143,00:00.0
859,18174,00:00.0
861,10146,00:00.0
863,18813,00:00.0
867,16967,00:00.0
869,11011,00:00.0
871,3465,00:00.0
873,12,00:00.0
875,8579,00:00.0
877,7146,00:00.0
879,15538,00:00.0
881,11555,00:00.0
883,6675,00:00.0
885,13480,00:00.0
887,5099,00:00.0
889,5995,00:00.0
891,15319,00:00.0
893,4511,00:00.0
895,6955,00:00.0
897,2759,00:00.0
899,13246,00:00.0
901,18591,00:00.0
903,76,00:00.0
905,17748,00:00.0
907,5439,00:00.0
909,14599,00:00.0
911,3498,00:00.0
913,11717,00:00.0
915,15076,00:00.0
919,10919,00:00.0
921,8965,00:00.0
923,15586,00:00.0
925,17132,00:00.0
927,782,00:00.0
929,11441,00:00.0
931,14562,00:00.0
933,19181,00:00.0
935,15798,00:00.0
937,10915,00:00.0
939,706,00:00.0
941,4662,00:00.0
943,5710,00:00.0
945,9386,00:00.0
947,1699,00:00.0
949,16754,00:00.0
951,8850,00:00.0
953,5868,00:00.0
957,14803,00:00.0
959,6191,00:00.0
961,451,00:00.0
963,11815,00:00.0
965,5609,00:00.0
969,18316,00:00.0
971,15711,00:00.0
973,4835,00:00.0
975,16976,00:00.0
977,10100,00:00.0
979,12102,00:00.0
981,8672,00:00.0
983,18930,00:00.0
985,10662,00:00.0
987,7667,00:00.0
989,12582,00:00.0
991,2780,00:00.0
993,17978,00:00.0
995,3367,00:00.0
997,8552,00:00.0
999,15432,00:00.0
1001,8217,00:00.0
1003,5347,00:00.0
1009,13366,00:00.0
1011,15682,00:00.0
1013,14140,00:00.0
1015,7845,00:00.0
1017,18153,00:00.0
1019,6291,00:00.0
1021,12279,00:00.0
1023,2274,00:00.0
1025,17324,00:00.0
1027,10004,00:00.0
1029,13694,00:00.0
1031,14559,00:00.0
1033,6881,00:00.0
1035,8399,00:00.0
1037,9314,00:00.0
1039,18097,00:00.0
1041,6535,00:00.0
1043,14030,00:00.0
1045,16281,00:00.0
1047,13699,00:00.0
1049,11886,00:00.0
1051,6183,00:00.0
1053,12371,00:00.0
1055,16905,00:00.0
1059,7719,00:00.0
1061,18495,00:00.0
1063,4432,00:00.0
1065,18418,00:00.0
1067,6083,00:00.0
1069,17621,00:00.0
1071,11888,00:00.0
1073,12030,00:00.0
1075,14790,00:00.0
1077,8482,00:00.0
1079,14234,00:00.0
1081,11056,00:00.0
1083,13939,00:00.0
1085,1417,00:00.0
1087,12299,00:00.0
1089,10234,00:00.0
1091,4443,00:00.0
1093,18493,00:00.0
1095,1402,00:00.0
1099,7001,00:00.0
1101,5279,00:00.0
1105,8479,00:00.0
1107,12177,00:00.0
1109,7089,00:00.0
1111,8043,00:00.0
1113,9617,00:00.0
1115,18675,00:00.0
1117,6646,00:00.0
1119,5651,00:00.0
1121,59,00:00.0
1125,16665,00:00.0
1127,10520,00:00.0
1129,7831,00:00.0
1131,10899,00:00.0
1133,11840,00:00.0
1135,8991,00:00.0
1137,11679,00:00.0
1139,4218,00:00.0
1141,19174,00:00.0
1143,14219,00:00.0
1145,17174,00:00.0
1147,8882,00:00.0
1149,5102,00:00.0
1151,18419,00:00.0
1153,11744,00:00.0
1155,15771,00:00.0
1157,5434,00:00.0
1159,10909,00:00.0
1161,11984,00:00.0
1163,8663,00:00.0
1165,9212,00:00.0
1167,12808,00:00.0
1169,18707,00:00.0
1171,2668,00:00.0
1173,2470,00:00.0
1175,9540,00:00.0
1177,3586,00:00.0
1181,2364,00:00.0
1183,5093,00:00.0
1185,13693,00:00.0
1187,5215,00:00.0
1191,11072,00:00.0
1195,5424,00:00.0
1197,9949,00:00.0
1199,3815,00:00.0
