BusinessEntityID,TerritoryID,StartDate,EndDate,rowguid,ModifiedDate,,,,
275,2,00:00.0,00:00.0,8563CE6A-00FF-47D7-BA4D-3C3E1CDEF531,00:00.0,,,,
275,3,00:00.0,NULL,2F44304C-EE87-4C72-813E-CA75C5F61F4C,00:00.0,,,,
276,4,00:00.0,NULL,64BCB1B3-A793-40BA-9859-D90F78C3F167,00:00.0,,,,
277,3,00:00.0,00:00.0,3E9F893D-5142-46C9-A76A-867D1E3D6F90,00:00.0,,,,
277,2,00:00.0,NULL,132E4721-32DD-4A73-B556-1837F3A2B9AE,00:00.0,,,,
278,6,00:00.0,NULL,B7C8F9F5-5FB8-47B3-BE73-1B9A14BDF8B9,00:00.0,,,,
279,5,00:00.0,NULL,57D1CDCF-62CE-499F-8BE8-1BB71C4BB7EF,00:00.0,,,,
280,1,00:00.0,00:00.0,FD3F5566-10E2-4960-BE12-0365E5665881,00:00.0,,,,
281,4,00:00.0,NULL,9D8754B2-C320-40DB-A77F-FF5A1BC0F46B,00:00.0,,,,
282,6,00:00.0,00:00.0,2C9F5240-D8BF-4F85-897D-6083146DBC4B,00:00.0,,,,
282,10,00:00.0,NULL,92375465-38C6-4C86-ABA1-9838A2969475,00:00.0,,,,
283,1,00:00.0,NULL,009F7660-44A6-4ADF-BD4B-A5D1B79993F5,00:00.0,,,,
284,1,00:00.0,NULL,ED12F921-8023-48EF-84BD-94D942F4C009,00:00.0,,,,
286,9,00:00.0,NULL,D664D989-2BEB-4F2C-A4AA-691018965283,00:00.0,,,,
288,8,00:00.0,NULL,3E1360CB-32E0-4286-8D98-8539F1AB2550,00:00.0,,,,
289,6,00:00.0,NULL,987613ED-33D6-42A6-B992-0B33E9234934,00:00.0,,,,
290,7,00:00.0,NULL,8895E74D-6D38-4140-BBEA-A8136A2F480E,00:00.0,,,,
